Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open,Close,Pips,Profit,Duration,Gain
29/06/21 14:01,29/06/21 15:06,EURJPY,Buy,0.05,-,-,131.446,131.504,0,2.62,1h 4m,0.08%
29/06/21 1:02,29/06/21 8:37,GBPJPY,Buy,0.05,-,-,153.214,153.234,0,0.9,7h 35m,0.03%
25/06/21 12:30,29/06/21 5:58,USDJPY,Buy,0.15,-,-,110.557,110.556,0,-0.14,3d ,0.00%
16/06/21 18:43,23/06/21 11:52,GBPUSD,Buy,0.05,-,-,1.40091,1.39686,0,-20.25,6d ,-0.61%
17/06/21 13:03,23/06/21 11:52,GBPUSD,Buy,0.05,-,-,1.39248,1.39684,0,21.8,5d ,0.66%
17/06/21 16:36,23/06/21 8:01,USDCAD,Sell,0.1,-,-,1.23654,1.22896,0,61.68,5d ,1.91%
16/06/21 18:02,23/06/21 8:01,USDCAD,Sell,0.1,-,-,1.22151,1.22896,0,-60.62,6d ,-1.84%
10/06/21 7:00,10/06/21 10:39,EURJPY,Buy,0.05,-,-,133.208,133.23,0,1.01,3h 38m,0.03%
04/06/21 14:30,08/06/21 1:55,EURJPY,Buy,0.05,-,-,133.187,133.332,0,6.63,3d ,0.20%
04/06/21 13:46,08/06/21 1:55,EURJPY,Buy,0.05,-,-,133.428,133.334,0,-4.3,3d ,-0.13%
04/06/21 8:18,08/06/21 1:55,EURJPY,Buy,0.05,-,-,133.443,133.334,0,-4.98,3d ,-0.15%
01/06/21 18:08,06/06/21 21:06,GBPJPY,Buy,0.05,-,-,154.892,154.891,0,-0.05,5d ,0.00%
04/06/21 5:58,04/06/21 12:38,EURJPY,Buy,0.05,-,-,133.51,133.551,0,1.87,6h 39m,0.06%
03/06/21 17:13,04/06/21 7:00,NZDUSD,Buy,0.05,-,-,0.71355,0.71571,0,10.8,13h 46m,0.33%
03/06/21 14:37,04/06/21 7:00,NZDUSD,Buy,0.05,-,-,0.71577,0.71571,0,-0.3,16h 22m,-0.01%
03/06/21 13:37,04/06/21 7:00,NZDUSD,Buy,0.05,-,-,0.71723,0.71571,0,-7.6,17h 23m,-0.23%
01/06/21 17:31,03/06/21 12:02,GBPJPY,Buy,0.05,-,-,154.932,155.723,0,36.03,1d ,1.11%
02/06/21 10:43,02/06/21 12:43,EURUSD,Buy,0.1,-,-,1.2176,1.21879,0,11.9,2h 0m,0.37%
01/06/21 14:16,02/06/21 2:58,GBPJPY,Buy,0.05,-,-,155.105,155.21,0,4.79,12h 41m,0.15%
25/05/21 18:09,26/05/21 7:15,EURJPY,Buy,0.05,-,-,133.206,133.216,0,0.46,13h 5m,0.01%
25/05/21 17:35,26/05/21 3:22,EURJPY,Buy,0.05,-,-,133.259,133.373,0,5.24,9h 47m,0.16%
19/05/21 10:43,19/05/21 15:27,GBPUSD,Buy,0.05,-,-,1.41613,1.41616,0,0.15,4h 44m,0.00%
18/05/21 16:03,18/05/21 16:12,AUDUSD,Buy,0.05,-,-,0.77817,0.77819,0,0.1,8m,0.00%
12/05/21 12:30,12/05/21 14:54,AUDJPY,Buy,0.05,-,-,84.681,84.694,0,0.6,2h 24m,0.02%
12/05/21 12:30,12/05/21 13:23,AUDUSD,Buy,0.05,-,-,0.77796,0.77806,0,0.5,53m,0.02%
12/05/21 12:30,12/05/21 13:10,AUDUSD,Buy,0.05,-,-,0.77796,0.78034,0,11.9,40m,0.37%
12/05/21 12:30,12/05/21 12:59,NZDUSD,Buy,0.05,-,-,0.72171,0.72281,0,5.5,29m,0.17%
12/05/21 3:48,12/05/21 12:59,NZDUSD,Buy,0.05,-,-,0.72343,0.72283,0,-3,9h 11m,-0.09%
04/05/21 13:02,10/05/21 2:39,EURJPY,Buy,0.03,-,-,131.156,132.293,0,31.33,5d ,0.99%
06/05/21 16:55,07/05/21 4:08,EURJPY,Buy,0.05,-,-,131.447,131.65,0,9.31,11h 12m,0.29%
06/05/21 14:57,06/05/21 20:18,EURJPY,Buy,0.05,-,-,131.542,131.545,0,0.14,5h 20m,0.00%
04/05/21 13:02,06/05/21 14:45,EURJPY,Buy,0.02,-,-,131.156,131.607,0,8.27,2d ,0.26%
22/04/21 18:10,26/04/21 6:09,NZDUSD,Buy,0.05,-,-,0.7147,0.72084,0,30.7,3d ,0.98%
22/04/21 14:28,22/04/21 19:37,GBPUSD,Buy,0.05,-,-,1.38397,1.38399,0,0.1,5h 9m,0.00%
20/04/21 16:35,21/04/21 15:15,EURJPY,Buy,0.05,-,-,130.079,130.108,0,1.34,22h 39m,0.04%
21/04/21 12:32,21/04/21 15:08,CADJPY,Buy,0.05,-,-,85.677,86.69,0,46.84,2h 36m,1.52%
21/04/21 10:43,21/04/21 15:08,EURJPY,Buy,0.05,-,-,129.805,130.093,0,13.32,4h 25m,0.43%
20/04/21 14:52,21/04/21 15:08,EURJPY,Buy,0.05,-,-,130.313,130.092,0,-10.22,1d ,-0.33%
12/04/21 4:58,12/04/21 9:34,GBPUSD,Buy,0.05,-,-,1.36829,1.37411,0,29.1,4h 36m,0.95%
09/04/21 5:59,09/04/21 11:23,GBPUSD,Buy,0.05,-,-,1.3706,1.37224,0,8.2,5h 24m,0.27%
08/04/21 1:21,08/04/21 11:17,AUDJPY,Buy,0.05,-,-,83.483,83.559,0,3.47,9h 55m,0.11%
07/04/21 16:28,08/04/21 10:26,GBPUSD,Buy,0.05,-,-,1.37418,1.37435,0,0.85,17h 57m,0.03%
07/04/21 15:32,08/04/21 2:58,GBPUSD,Buy,0.05,-,-,1.37533,1.37539,0,0.3,11h 26m,0.01%
08/04/21 2:10,08/04/21 2:49,AUDJPY,Buy,0.05,-,-,83.514,83.516,0,0.09,38m,0.00%
07/04/21 13:14,07/04/21 15:09,GBPUSD,Buy,0.05,-,-,1.37564,1.37829,0,13.25,1h 55m,0.44%
06/04/21 17:25,07/04/21 7:34,GBPUSD,Buy,0.05,-,-,1.38063,1.38079,0,0.8,14h 8m,0.03%
06/04/21 12:39,06/04/21 12:50,CADJPY,Buy,0.05,-,-,87.659,87.442,0,-9.87,10m,-0.33%
06/04/21 11:14,06/04/21 12:50,GBPUSD,Buy,0.05,-,-,1.38298,1.38494,0,9.8,1h 35m,0.32%
06/04/21 9:43,06/04/21 12:50,AUDUSD,Buy,0.03,-,-,0.76131,0.76399,0,8.04,3h 6m,0.27%
06/04/21 9:43,06/04/21 12:13,AUDUSD,Buy,0.02,-,-,0.76131,0.76285,0,3.08,2h 29m,0.10%
06/04/21 7:05,06/04/21 12:08,AUDUSD,Buy,0.05,-,-,0.7626,0.76262,0,0.1,5h 2m,0.00%
31/03/21 19:45,01/04/21 12:44,EURUSD,Buy,0.05,-,-,1.17261,1.17468,0,10.35,16h 59m,0.34%
30/03/21 6:45,31/03/21 17:10,EURUSD,Buy,0.05,-,-,1.17518,1.17524,0,0.3,1d ,0.01%
30/03/21 17:15,31/03/21 6:46,EURUSD,Buy,0.05,-,-,1.17182,1.1721,0,1.4,13h 31m,0.05%
31/03/21 3:28,-,-,Withdrawal,,-,-,,,-,-588,-,-
25/03/21 16:55,29/03/21 7:14,EURUSD,Buy,0.05,-,-,1.17678,1.17855,0,8.85,3d ,0.25%
26/03/21 11:48,29/03/21 7:14,EURUSD,Buy,0.05,-,-,1.1774,1.17855,0,5.75,2d ,0.16%
29/03/21 5:09,29/03/21 7:09,EURUSD,Buy,0.05,-,-,1.17784,1.17857,0,3.65,2h 0m,0.10%
25/03/21 15:04,29/03/21 1:22,AUDJPY,Buy,0.05,-,-,82.6,83.621,0,46.53,3d ,1.32%
26/03/21 11:23,26/03/21 20:16,EURUSD,Buy,0.05,-,-,1.17787,1.1797,0,9.15,8h 53m,0.26%
26/03/21 11:24,26/03/21 12:34,EURUSD,Buy,0.05,-,-,1.1779,1.1781,0,1,1h 9m,0.03%
25/03/21 12:45,26/03/21 9:44,EURUSD,Buy,0.1,-,-,1.17937,1.17956,0,1.9,20h 58m,0.05%
25/03/21 15:04,26/03/21 6:09,AUDJPY,Buy,0.05,-,-,82.6,83.327,0,33.27,15h 4m,0.96%
24/03/21 19:31,25/03/21 8:56,AUDJPY,Buy,0.05,-,-,82.513,82.939,0,19.51,13h 25m,0.56%
23/03/21 9:17,23/03/21 9:40,GBPJPY,Buy,0.05,-,-,150.061,149.766,0,-13.57,22m,-0.39%
23/03/21 8:06,23/03/21 9:40,GBPJPY,Buy,0.05,-,-,150.398,149.765,0,-29.11,1h 33m,-0.83%
23/03/21 8:35,23/03/21 9:36,GBPUSD,Buy,0.05,-,-,1.38064,1.3775,0,-15.7,1h 0m,-0.45%
23/03/21 8:04,23/03/21 9:36,GBPUSD,Buy,0.05,-,-,1.38373,1.3775,0,-31.15,1h 31m,-0.88%
22/03/21 13:07,23/03/21 7:44,GBPJPY,Buy,0.05,-,-,150.482,150.515,0,1.51,18h 36m,0.04%
18/03/21 13:26,22/03/21 11:42,NZDUSD,Buy,0.03,-,-,0.71925,0.71769,0,-4.72,3d ,-0.13%
18/03/21 20:11,22/03/21 11:42,NZDUSD,Buy,0.07,-,-,0.71661,0.71771,0,7.6,3d ,0.21%
18/03/21 20:08,19/03/21 7:19,AUDUSD,Buy,0.1,-,-,0.77621,0.7763,0,0.7,11h 10m,0.02%
16/03/21 9:53,17/03/21 17:59,EURAUD,Sell,0.03,-,-,1.54618,1.54608,0,0.17,1d ,0.00%
04/03/21 17:35,04/03/21 18:00,EURUSD,Buy,0.03,-,-,1.20061,1.19895,0,-4.98,25m,-0.14%
02/03/21 20:38,03/03/21 6:22,USOIL',Buy,0.01,-,-,59,60,0,2.93,9h 44m,0.08%
02/03/21 19:46,03/03/21 6:13,USOIL',Buy,0.01,-,-,60,60,0,1.13,10h 27m,0.03%
02/03/21 19:36,03/03/21 6:13,USOIL',Buy,0.03,-,-,60,60,0,-0.18,10h 37m,-0.01%
02/03/21 19:34,03/03/21 5:05,USOIL',Buy,0.03,-,-,60,60,0,1.62,9h 30m,0.05%
02/03/21 19:26,03/03/21 4:42,USOIL',Buy,0.03,-,-,60,60,0,0.45,9h 15m,0.01%
02/03/21 6:54,02/03/21 18:05,USOIL',Buy,0.03,-,-,60,61,0,26.25,11h 10m,0.75%
01/03/21 20:03,02/03/21 6:27,USOIL',Buy,0.03,-,-,60,60,0,-9.99,10h 24m,-0.28%
02/03/21 1:50,02/03/21 6:27,USOIL',Buy,0.03,-,-,60,60,0,10.47,4h 36m,0.30%
24/02/21 15:22,26/02/21 10:07,EURUSD,Buy,0.02,-,-,1.21189,1.21191,0,0.04,1d ,0.00%
25/02/21 18:41,25/02/21 19:49,AUDUSD,Buy,0.02,-,-,0.78847,0.78996,0,2.98,1h 7m,0.08%
24/02/21 15:05,25/02/21 10:50,EURUSD,Buy,0.02,-,-,1.21238,1.2222,0,19.64,19h 44m,0.56%
24/02/21 13:49,24/02/21 18:42,EURUSD,Buy,0.02,-,-,1.21296,1.21482,0,3.72,4h 52m,0.11%
24/02/21 13:22,24/02/21 16:59,EURUSD,Buy,0.02,-,-,1.21365,1.21415,0,1,3h 37m,0.03%
23/02/21 8:36,23/02/21 10:27,UT100',Buy,0.1,-,-,13239,12995,0,-244.45,1h 50m,-6.55%
