Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open,Close,Pips,Profit,Duration,Gain
30/06/21 15:15,30/06/21 16:41,EURCHF,Sell,0.11,-,-,1.09806,1.09685,0,13.79,1h 26m,0.62%
30/06/21 0:04,30/06/21 15:22,USDJPY,Buy,0.11,-,-,110.563,110.614,0,4.46,15h 17m,0.20%
25/06/21 23:53,28/06/21 1:42,EURNZD,Buy,0.1,-,-,1.68859,1.68988,0,7.91,2d ,0.36%
25/06/21 23:01,28/06/21 1:00,USDJPY,Buy,0.1,-,-,110.754,110.857,0,8.6,2d ,0.39%
25/06/21 22:58,28/06/21 0:46,USDJPY,Buy,0.1,-,-,110.755,110.787,0,2.2,2d ,0.10%
25/06/21 22:58,28/06/21 0:03,USDCHF,Buy,0.1,-,-,0.91679,0.9178,0,10.45,2d ,0.48%
25/06/21 23:41,25/06/21 23:43,EURNZD,Buy,0.1,-,-,1.68858,1.68919,0,3.76,2m,0.17%
25/06/21 17:12,25/06/21 21:09,EURGBP,Buy,0.1,-,-,0.85937,0.85937,0,-0.55,3h 57m,-0.03%
25/06/21 0:04,25/06/21 3:00,USDJPY,Buy,0.1,-,-,110.889,110.941,0,4.14,2h 56m,0.19%
23/06/21 17:59,23/06/21 19:24,EURCHF,Buy,0.1,-,-,1.09541,1.09626,0,8.71,1h 24m,0.40%
21/06/21 9:24,21/06/21 10:11,USDCHF,Buy,0.1,-,-,0.92168,0.92283,0,11.91,46m,0.55%
21/06/21 1:52,21/06/21 4:30,GBPUSD,Sell,0.1,-,-,1.38181,1.38226,0,-5.05,2h 37m,-0.23%
18/06/21 23:54,21/06/21 3:34,GBPCAD,Sell,0.1,-,-,1.72018,1.7193,0,6.21,2d ,0.29%
18/06/21 23:18,21/06/21 1:24,EURCAD,Sell,0.1,-,-,1.47748,1.47728,0,0.99,2d ,0.05%
21/06/21 0:42,21/06/21 1:22,USDJPY,Sell,0.1,-,-,110.24,110.175,0,5.35,40m,0.25%
18/06/21 23:14,21/06/21 1:00,GBPAUD,Sell,0.1,-,-,1.84391,1.84313,0,4.9,2d ,0.23%
18/06/21 22:55,21/06/21 1:00,NZDUSD,Buy,0.1,-,-,0.69387,0.69402,0,0.74,2d ,0.03%
18/06/21 22:55,21/06/21 0:31,EURUSD,Buy,0.1,-,-,1.1867,1.18642,0,-3.82,2d ,-0.18%
18/06/21 21:44,18/06/21 22:38,EURCAD,Buy,0.1,-,-,1.47465,1.47595,0,9.91,54m,0.46%
18/06/21 21:21,18/06/21 22:11,EURAUD,Buy,0.1,-,-,1.5815,1.58351,0,14.52,49m,0.68%
18/06/21 17:27,18/06/21 18:02,AUDNZD,Sell,0.1,-,-,1.08109,1.07977,0,8.6,34m,0.41%
18/06/21 0:10,18/06/21 2:34,USDJPY,Buy,0.1,-,-,110.246,110.299,0,4.26,2h 24m,0.20%
16/06/21 17:05,16/06/21 18:01,EURCHF,Sell,0.1,-,-,1.09048,1.08915,0,14.25,56m,0.68%
15/06/21 23:00,16/06/21 3:01,USDJPY,Buy,0.1,-,-,110.048,110.102,0,4.21,4h 1m,0.20%
11/06/21 19:42,14/06/21 7:59,EURCHF,Buy,0.1,-,-,1.08771,1.08775,0,-0.34,2d ,-0.02%
11/06/21 23:56,14/06/21 1:35,GBPCHF,Buy,0.1,-,-,1.26753,1.26776,0,1.94,2d ,0.09%
11/06/21 23:01,14/06/21 1:07,USDJPY,Buy,0.1,-,-,109.658,109.707,0,3.77,2d ,0.18%
11/06/21 22:53,14/06/21 1:00,GBPUSD,Sell,0.1,-,-,1.41148,1.41152,0,-1.24,2d ,-0.06%
10/06/21 23:00,11/06/21 1:21,USDJPY,Buy,0.1,-,-,109.33,109.384,0,4.24,2h 21m,0.20%
09/06/21 15:09,10/06/21 3:07,EURCHF,Buy,0.1,-,-,1.09149,1.09126,0,-3.84,11h 57m,-0.18%
07/06/21 20:05,07/06/21 21:59,GBPCHF,Sell,0.1,-,-,1.27297,1.27242,0,5.58,1h 54m,0.27%
04/06/21 15:56,07/06/21 14:58,EURGBP,Sell,0.1,-,-,0.85826,0.85826,0,-0.63,2d ,-0.03%
07/06/21 9:37,07/06/21 10:36,USDCHF,Sell,0.1,-,-,0.90017,0.89943,0,7.68,58m,0.37%
07/06/21 0:06,07/06/21 1:01,GBPUSD,Buy,0.1,-,-,1.41576,1.41631,0,4.95,54m,0.24%
02/06/21 21:42,02/06/21 23:55,GBPCHF,Buy,0.1,-,-,1.27217,1.27262,0,4.46,2h 12m,0.22%
01/06/21 22:25,02/06/21 1:40,GBPCAD,Sell,0.1,-,-,1.70866,1.70809,0,3.78,3h 14m,0.18%
31/05/21 9:33,31/05/21 10:03,USDCHF,Sell,0.1,-,-,0.90006,0.89951,0,5.56,30m,0.27%
28/05/21 22:28,31/05/21 8:23,EURCHF,Buy,0.1,-,-,1.09649,1.09696,0,4.43,2d ,0.22%
28/05/21 23:11,31/05/21 3:54,USDJPY,Sell,0.1,-,-,109.851,109.797,0,4.02,2d ,0.20%
28/05/21 15:08,28/05/21 16:18,EURGBP,Buy,0.1,-,-,0.85798,0.85826,0,3.41,1h 9m,0.17%
26/05/21 15:41,26/05/21 17:50,EURCHF,Sell,0.1,-,-,1.0965,1.09508,0,15.32,2h 8m,0.76%
21/05/21 19:26,24/05/21 5:29,EURCHF,Buy,0.1,-,-,1.09375,1.09378,0,-0.46,2d ,-0.02%
24/05/21 1:01,24/05/21 3:09,GBPUSD,Buy,0.1,-,-,1.41475,1.41458,0,-2.25,2h 8m,-0.11%
21/05/21 22:12,24/05/21 1:01,USDCAD,Buy,0.1,-,-,1.20583,1.20667,0,6.19,2d ,0.31%
