Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open,Close,Pips,Profit,Duration,Gain,
25/06/2021 15:30,25/06/2021 23:55,EURUSD,Buy,0.44,-,-,1.19568,1.19365,0.0,-74.83,8h 24m,-0.38%,
24/06/2021 13:32,24/06/2021 23:55,EURUSD,Buy,0.44,-,-,1.19485,1.19304,0.0,-66.75,10h 22m,-0.34%,
23/06/2021 10:15,23/06/2021 16:45,EURUSD,Sell,0.22,-,-,1.19119,1.19621,0.0,-92.32,6h 30m,-0.47%,
23/06/2021 10:15,23/06/2021 15:21,EURUSD,Sell,0.22,-,-,1.19119,1.19552,0.0,-79.68,5h 6m,-0.40%,
22/06/2021 12:35,22/06/2021 19:38,EURUSD,Sell,0.22,-,-,1.18893,1.19412,0.0,-95.62,7h 3m,-0.48%,
22/06/2021 12:35,22/06/2021 19:38,EURUSD,Sell,0.22,-,-,1.18893,1.19409,0.0,-95.07,7h 3m,-0.47%,
21/06/2021 09:24,21/06/2021 17:22,EURUSD,Buy,0.44,-,-,1.18786,1.19188,0.0,148.40,7h 58m,+0.75%,
18/06/2021 09:48,18/06/2021 17:08,EURUSD,Sell,0.44,-,-,1.18942,1.18656,0.0,106.05,7h 20m,+0.54%,
17/06/2021 09:11,17/06/2021 13:20,EURUSD,Sell,0.44,-,-,1.19752,1.19367,0.0,141.92,4h 8m,+0.72%,
15/06/2021 10:26,15/06/2021 23:55,EURUSD,Buy,0.22,-,-,1.21446,1.21256,0.0,-34.47,13h 28m,-0.18%,
15/06/2021 10:26,15/06/2021 15:46,EURUSD,Buy,0.22,-,-,1.21446,1.21014,0.0,-78.54,5h 19m,-0.40%,
14/06/2021 13:56,14/06/2021 23:55,EURUSD,Buy,0.44,-,-,1.21250,1.21179,0.0,-25.78,9h 58m,-0.13%,
11/06/2021 12:10,11/06/2021 15:03,EURUSD,Sell,0.44,-,-,1.21622,1.21325,0.0,107.71,2h 52m,+0.55%,
10/06/2021 14:45,10/06/2021 23:55,EURUSD,Buy,0.22,-,-,1.21867,1.21750,0.0,-21.14,9h 9m,-0.11%,
10/06/2021 17:33,-,-,Withdrawal,,-,-,,,-,-300.00,-,-,
10/06/2021 14:45,10/06/2021 16:28,EURUSD,Buy,0.22,-,-,1.21867,1.21436,0.0,-78.08,1h 43m,-0.39%,
09/06/2021 16:06,09/06/2021 17:14,EURUSD,Buy,0.44,-,-,1.22012,1.22023,0.0,3.97,1h 8m,+0.02%,
07/06/2021 14:32,07/06/2021 21:20,EURUSD,Buy,0.44,-,-,1.21760,1.21970,0.0,75.76,6h 48m,+0.38%,
07/06/2021 10:49,-,-,Withdrawal,,-,-,,,-,-24.70,-,-,
06/06/2021 10:15,-,-,Deposit,,-,-,,,-,3150.00,-,-,
04/06/2021 23:46,-,-,Deposit,,-,-,,,-,2000.00,-,-,
04/06/2021 15:30,04/06/2021 17:18,EURUSD,Buy,0.15,-,-,1.21370,1.21697,0.0,40.31,1h 47m,+0.27%,
04/06/2021 15:30,04/06/2021 16:42,EURUSD,Buy,0.15,-,-,1.21370,1.21739,0.0,45.47,1h 12m,+0.31%,
03/06/2021 10:01,03/06/2021 16:35,EURUSD,Sell,0.30,-,-,1.21835,1.21514,0.0,79.25,6h 34m,+0.54%,
02/06/2021 11:05,02/06/2021 23:55,EURUSD,Sell,0.30,-,-,1.21956,1.22105,0.0,-36.61,12h 49m,-0.25%,
28/05/2021 14:32,28/05/2021 23:56,EURUSD,Sell,0.05,-,-,1.21698,1.21940,0.0,-9.92,9h 24m,-0.07%,
28/05/2021 14:32,28/05/2021 23:56,EURUSD,Sell,0.05,-,-,1.21698,1.21940,0.0,-9.92,9h 23m,-0.07%,
28/05/2021 14:32,28/05/2021 18:50,EURUSD,Sell,0.05,-,-,1.21698,1.21990,0.0,-11.97,4h 17m,-0.08%,
28/05/2021 14:32,28/05/2021 18:30,EURUSD,Sell,0.05,-,-,1.21698,1.21939,0.0,-9.88,3h 58m,-0.07%,
