Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open,Close,Pips,Profit,Duration,Gain,
24/06/2021 23:00,24/06/2021 23:07,AUDCAD,Sell,0.15,-,-,0.93493,0.93485,0.0,-0.08,7m,+0.00%,
22/06/2021 23:43,23/06/2021 01:15,EURCAD,Buy,0.15,-,-,1.46923,1.46955,0.0,2.03,1h 31m,+0.07%,
22/06/2021 23:58,23/06/2021 01:15,AUDCAD,Buy,0.15,-,-,0.92963,0.92971,0.0,-0.48,1h 16m,-0.02%,
21/06/2021 23:58,22/06/2021 03:02,EURCAD,Sell,0.15,-,-,1.47362,1.47348,0.0,0.53,3h 3m,+0.02%,
21/06/2021 23:51,22/06/2021 00:17,AUDCAD,Sell,0.15,-,-,0.93260,0.93192,0.0,6.86,26m,+0.22%,
21/06/2021 23:42,21/06/2021 23:46,USDCAD,Buy,0.15,-,-,1.23548,1.23600,0.0,5.26,4m,+0.17%,
17/06/2021 23:58,18/06/2021 03:03,EURNZD,Buy,0.15,-,-,1.69940,1.69849,0.0,-11.59,3h 5m,-0.38%,
15/06/2021 23:35,16/06/2021 01:33,EURAUD,Buy,0.15,-,-,1.57748,1.57748,0.0,-1.97,1h 57m,-0.06%,
15/06/2021 23:32,16/06/2021 01:32,EURCAD,Buy,0.15,-,-,1.47758,1.47759,0.0,-1.75,1h 59m,-0.06%,
15/06/2021 23:05,16/06/2021 01:31,USDCAD,Buy,0.15,-,-,1.21863,1.21848,0.0,-3.24,2h 26m,-0.11%,
14/06/2021 23:02,15/06/2021 01:15,EURAUD,Buy,0.15,-,-,1.57138,1.57196,0.0,4.70,2h 12m,+0.15%,
10/06/2021 23:15,11/06/2021 02:00,EURNZD,Sell,0.15,-,-,1.69170,1.69166,0.0,-0.80,2h 45m,-0.03%,
10/06/2021 23:29,11/06/2021 01:52,EURAUD,Sell,0.15,-,-,1.57040,1.57008,0.0,2.49,2h 22m,+0.08%,
10/06/2021 23:51,11/06/2021 01:15,EURCAD,Sell,0.15,-,-,1.47284,1.47221,0.0,6.59,1h 23m,+0.22%,
09/06/2021 00:50,09/06/2021 00:59,EURAUD,Sell,0.15,-,-,1.57354,1.57287,0.0,6.73,8m,+0.22%,
08/06/2021 23:00,08/06/2021 23:11,USDCAD,Sell,0.15,-,-,1.21171,1.21111,0.0,6.38,10m,+0.21%,
07/06/2021 23:39,08/06/2021 03:11,EURNZD,Sell,0.15,-,-,1.68632,1.68637,0.0,-1.77,3h 32m,-0.06%,
03/06/2021 23:27,04/06/2021 02:30,AUDCAD,Sell,0.15,-,-,0.92720,0.92740,0.0,-3.89,3h 3m,-0.13%,
03/06/2021 23:00,04/06/2021 01:17,EURAUD,Buy,0.15,-,-,1.58389,1.58344,0.0,-7.16,2h 17m,-0.23%,
03/06/2021 23:00,04/06/2021 01:15,EURNZD,Buy,0.15,-,-,1.69887,1.69788,0.0,-12.73,2h 14m,-0.41%,
