Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price,Pips,Profit,Duration (DD:HH:MM:SS),Change %
11/04/09 22:30,11/05/09 9:00,USDJPY,Buy,0.1,90.286,0,90.736,90.286,-45,-4554,00:10:30:00,-0.39
10/22/2009 22:45,10/23/2009 00:30,USDJPY,Buy,0.1,90.856,0,91.306,91.38,7.4,686,00:01:45:00,0.06
10/21/2009 23:15,10/22/2009 04:00,USDJPY,Buy,0.1,90.436,0,90.886,91.08,19.4,1886,00:04:45:00,0.16
10/20/2009 22:30,10/21/2009 02:45,USDJPY,Buy,0.1,90.196,0,90.646,90.79,14.4,1386,00:04:15:00,0.12
10/20/2009 01:30,10/20/2009 04:15,USDJPY,Sell,0.1,91.13,0,90.68,90.466,21.4,2100,00:02:45:00,0.18
10/12/09 22:30,10/13/2009 01:00,USDJPY,Sell,0.1,90.32,0,89.87,89.786,8.4,773,00:02:30:00,0.07
10/08/09 1:30,10/08/09 2:30,USDJPY,Sell,0.1,89.06,0,88.61,88.516,9.4,900,00:01:00:00,0.08
10/06/09 23:30,10/07/09 1:00,USDJPY,Sell,0.1,89.27,0,88.82,88.756,6.4,573,00:01:30:00,0.05
10/01/09 22:30,10/02/09 0:00,USDJPY,Sell,0.1,90.19,0,89.74,89.606,13.4,1273,00:01:30:00,0.11
09/30/2009 22:30,10/01/09 4:45,USDJPY,Sell,0.1,90.21,0,89.76,89.716,4.4,373,00:06:15:00,0.03
09/23/2009 22:30,09/24/2009 00:45,USDJPY,Buy,0.1,90.716,0,91.166,91.41,24.4,2386,00:02:15:00,0.21
09/17/2009 23:30,09/18/2009 02:00,USDJPY,Buy,0.1,90.676,0,91.126,91.21,8.4,786,00:02:30:00,0.07
09/16/2009 22:45,09/17/2009 02:15,USDJPY,Buy,0.1,90.346,0,90.796,90.98,18.4,1786,00:03:30:00,0.16
09/15/2009 01:30,09/15/2009 03:15,USDJPY,Buy,0.1,90.436,0,90.886,90.96,7.4,700,00:01:45:00,0.06
09/11/09 22:30,09/14/2009 00:16,USDJPY,Sell,0.1,91.11,0,90.66,90.316,34.4,3319,02:01:46:00,0.29
09/08/09 23:30,09/09/09 6:45,USDJPY,Sell,0.1,92.74,0,92.29,92.286,0.4,-27,00:07:15:00,0
09/07/09 23:30,09/08/09 2:45,USDJPY,Sell,0.1,93.46,0,93.01,92.976,3.4,273,00:03:15:00,0.02
09/03/09 1:30,09/03/09 2:00,USDJPY,Sell,0.1,92.69,0,92.24,92.126,11.4,1100,00:00:30:00,0.1
08/31/2009 22:30,09/01/09 1:15,USDJPY,Sell,0.1,93.43,0,92.98,92.916,6.4,573,00:02:45:00,0.05
08/26/2009 22:30,08/27/2009 06:16,USDJPY,Buy,0.1,93.726,0,94.176,93.726,-45,-4554,00:07:46:00,-0.4
08/24/2009 23:45,08/25/2009 01:45,USDJPY,Sell,0.1,95,0,94.55,94.436,11.4,1073,00:02:00:00,0.09
